
# Region: 0 Score: 69.39752960205078
84078, 84251, 502
84251, 83997, 502

# Region: 10 Score: 14.458233833312988
84251, 58557, 131
84251, 144547, 131
84251, 84056, 131
83997, 144547, 131
84251, 268208, 131
84078, 84251, 131
83997, 268208, 131
84251, 268213, 131
151351, 83997, 131
84251, 83997, 131
84251, 151351, 131
84251, 58557, 132
84251, 144547, 132
84251, 84056, 132
83997, 144547, 132
84251, 268208, 132
84078, 84251, 132
83997, 268208, 132
84251, 268213, 132
151351, 83997, 132
84251, 83997, 132
84251, 151351, 132

# Region: 11 Score: 7.01072883605957
84250, 1027303, 593
84250, 83997, 593
84250, 84067, 593
70280, 83997, 593
70280, 84113, 593
84250, 236449, 593
70280, 84067, 593
83997, 144510, 593
70280, 236449, 593

# Region: 12 Score: 5.586805820465088
88876, 88907, 605
84002, 186819, 605
88870, 88743, 605
88879, 20344, 605
84002, 89761, 605
88884, 20344, 605
84002, 89772, 605
88873, 88907, 605
88743, 88876, 605
88873, 89772, 605
88884, 186819, 605
84002, 115639, 605
88870, 89761, 605
88876, 88907, 606
84002, 186819, 606
88870, 88743, 606
88879, 20344, 606
84002, 89761, 606
88884, 20344, 606
84002, 89772, 606
88873, 88907, 606
88743, 88876, 606
88873, 89772, 606
88884, 186819, 606
84002, 115639, 606
88870, 89761, 606

# Region: 13 Score: 9.098719596862793
72219, 93460, 381
64, 72277, 381
70910, 72279, 381
72279, 93460, 381
72219, 72368, 381
72219, 136206, 381
72279, 136206, 381
72219, 72277, 381

# Region: 14 Score: 8.293994903564453
63724, 59103, 622
63724, 26920, 622
63724, 63723, 622
4799, 17945, 622
9306, 20180, 622
9306, 17945, 622
63724, 9306, 622
9306, 15579, 622
4799, 9306, 622

# Region: 15 Score: 14.659680366516113
6934, 9475, 537
6934, 14799, 537
6934, 15624, 537
6934, 9475, 538
6934, 14799, 538
6934, 15624, 538
6934, 9475, 539
6934, 14799, 539
6934, 15624, 539
6934, 9475, 540
6934, 14799, 540
6934, 15624, 540
6934, 9475, 541
6934, 14799, 541
6934, 15624, 541

# Region: 16 Score: 7.561986923217773
63724, 187313, 392
